aX,aY,aZ,gX,gY,gZ
0.273,1.360,3.706,0.207,-0.065,-0.044
-0.010,1.374,4.252,0.173,-0.060,-0.069
-0.263,1.379,4.769,0.155,-0.054,-0.084
-0.469,1.441,5.195,0.148,-0.033,-0.090
-0.651,1.499,5.507,0.148,-0.017,-0.092
-0.785,1.513,5.737,0.151,-0.009,-0.098
-0.886,1.599,5.837,0.153,-0.015,-0.110
-0.953,1.709,5.827,0.142,-0.031,-0.129
-1.073,1.772,5.827,0.119,-0.045,-0.153
-1.312,1.805,5.823,0.086,-0.056,-0.172
-1.623,1.829,5.981,0.050,-0.071,-0.179
-1.930,1.748,6.297,0.026,-0.084,-0.163
-2.054,1.738,6.622,0.017,-0.078,-0.135
-2.064,1.820,6.790,0.008,-0.052,-0.113
-2.093,1.915,6.862,-0.011,-0.024,-0.107
-2.207,1.968,6.953,-0.042,-0.010,-0.116
-2.394,1.954,7.120,-0.073,-0.011,-0.133
-2.600,1.930,7.326,-0.104,-0.020,-0.142
-2.806,1.872,7.580,-0.131,-0.042,-0.146
-2.940,1.867,7.858,-0.153,-0.084,-0.149
-3.007,1.834,8.150,-0.166,-0.126,-0.149
-3.079,1.820,8.394,-0.174,-0.158,-0.145
-3.132,1.877,8.633,-0.184,-0.181,-0.135
-3.146,1.882,8.882,-0.193,-0.190,-0.122
-3.093,1.935,9.218,-0.195,-0.183,-0.103
-3.069,1.978,9.481,-0.186,-0.159,-0.084
-3.079,2.021,9.629,-0.167,-0.126,-0.066
-3.055,2.045,9.701,-0.146,-0.089,-0.050
-3.050,2.093,9.768,-0.129,-0.051,-0.038
-3.026,2.102,9.831,-0.120,-0.020,-0.025
-3.021,2.064,9.984,-0.109,0.003,-0.011
-2.969,2.025,10.127,-0.086,0.018,0.001
-2.916,2.006,10.214,-0.057,0.028,0.011
-2.916,2.035,10.262,-0.024,0.033,0.013
-2.974,2.069,10.242,0.007,0.038,0.008
-3.079,2.107,10.199,0.036,0.043,-0.001
-3.275,2.164,10.013,0.066,0.045,-0.011
-3.476,2.236,9.778,0.086,0.036,-0.013
-3.673,2.332,9.491,0.095,0.015,-0.005
-3.783,2.442,9.246,0.094,-0.011,0.011

