aX,aY,aZ,gX,gY,gZ
-2.653,-0.953,10.238,-0.362,0.189,0.658

18.866,-2.658,20.193,0.371,0.395,-1.502
19.948,-3.151,20.566,0.591,0.505,-1.906
20.662,-3.754,20.681,0.832,0.620,-2.366
20.877,-4.621,20.427,1.135,0.739,-2.945
20.274,-5.387,19.881,1.410,0.820,-3.461
19.029,-6.211,18.996,1.683,0.839,-3.958
17.530,-7.163,17.870,1.943,0.818,-4.366
15.639,-8.107,16.597,2.190,0.787,-4.366
13.542,-9.007,15.208,2.413,0.727,-4.366
11.449,-9.701,13.824,2.602,0.666,-4.366
8.863,-10.348,12.048,2.789,0.558,-4.366
6.795,-10.774,10.587,2.907,0.404,-4.366
4.860,-11.152,9.199,2.956,0.346,-4.366
2.643,-11.320,7.757,2.945,0.340,-4.366
0.364,-11.296,6.330,2.865,0.255,-4.366
-1.547,-11.243,5.109,2.727,0.120,-4.366
-3.117,-11.147,4.137,2.539,0.007,-4.366
-4.549,-10.985,3.472,2.321,-0.087,-4.366
-5.918,-10.874,3.156,2.100,-0.165,-4.366
